ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_earthquake_impact_wlb,earthquake_imp_1,earthquake_imp_2,earthquake_imp_3,earthquake_imp_4,earthquake_imp_5,ext_earthquake_cope,ext_earthquake_likely_repeat,ext_earthquake_affect,ext_earthquake_lkly_normal_business,ext_earthquake_lkly_stay_home,ext_earthquake_lkly_seek_shelter,ext_earthquake_lkly_social_connection,ext_earthquake_lkly_leave_town,ext_earthquake_lkly_supplies,ext_earthquake_lkly_follow_officials,ext_earthquake_lkly_comm_supports,ext_earthquake_wfh,ext_earthquake_car_travel,ext_earthquake_walk_bike_mode,ext_earthquake_transit_use,ext_earthquake_stay_home,ext_earthquake_stay_family_friends,ext_earthquake_check_family_friends,ext_earthquake_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
4255,49,2,0.020751407,0,98108,1,0,0,5,0,0,0,0,1,1,5,5,4,5,4,5,5,4,5,4,3,1,3,1,3,2,1,2,0.292943126,1.428660541,0.423075739,0,0,1,0,3,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,1,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
4259,49,2,0.056378016,0,98101,1,0,0,3,0,0,1,0,0,3,5,5,1,4,3,4,2,4,4,4,2,1,3,2,3,2,2,3,-0.475681856,-0.432864823,-1.81734559,1,1,0,0,2,1,1,0,0,1,2,0,3,1,0,1,1,0,1,0,0,0,1,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
4269,39,2,4.448617718,0,19462,0,1,0,4,0,0,0,1,0,2,5,4,4,4,5,3,3,4,5,4,2,1,3,1,2,1,3,2,0.583928307,1.075509417,0.28572261,0,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
4270,49,4,0.040492058,0,98108,1,0,0,3,0,0,1,0,0,1,5,4,5,4,5,4,5,4,5,5,1,3,2,1,1,2,2,2,0.472783185,1.616414422,0.685579957,0,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
4272,49,1,0.094931248,0,98108,1,0,0,3,0,0,1,0,0,2,5,4,4,5,4,5,5,5,4,4,2,3,3,3,1,1,2,2,0.623380683,1.358373619,0.692449085,0,0,0,0,1,1,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,0,1,4
4274,33,2,0.076577494,0,98104,1,0,0,5,0,0,0,0,1,3,5,5,1,2,3,4,5,3,3,4,1,1,3,2,2,2,2,1,-0.046459424,0.894643999,-1.7203411,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,3,0,0,3,1,0,0,1,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
4275,49,2,0.739626394,0,98002,1,0,0,3,0,0,1,0,0,2,1,5,1,1,3,3,5,5,5,5,1,1,1,1,1,1,1,1,-0.05438846,0.775791288,1.185564839,0,0,0,0,1,0,0,1,1,0,2,0,2,1,0,1,0,0,3,1,0,0,1,0,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,1,0,2,0,0,0,1,4
4281,49,2,0.021257454,0,98122,1,0,0,3,0,0,1,0,0,3,4,2,3,4,4,3,4,3,3,3,2,2,2,2,3,2,2,3,-0.820185973,1.169987105,-0.717840576,0,1,0,0,2,0,1,1,0,0,2,0,4,0,1,2,0,0,3,1,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
4282,49,2,0.042382605,0,98122,1,0,0,4,0,0,0,1,0,1,4,4,5,3,5,4,3,5,5,3,2,2,3,3,2,3,2,2,-0.103937772,0.341559711,0.033377491,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
4297,49,2,0.013125036,0,98052,0,1,0,1,1,0,0,0,0,2,4,4,2,3,4,3,4,5,5,5,2,2,2,2,3,4,2,2,0.782930413,0.358174335,0.432167774,1,1,0,0,2,1,1,1,0,0,2,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,0,3
4300,49,2,0.025647794,0,98126,0,1,0,1,1,0,0,0,0,1,4,1,4,2,2,2,1,5,5,4,2,2,2,2,2,3,3,3,0.64606783,0.879487443,0.249422392,0,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,1,1,0,1,1,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,0,1,4
4303,49,2,0.104053435,0,98406,1,0,0,3,0,0,1,0,0,1,1,4,3,4,5,3,3,4,4,2,2,2,1,3,3,3,2,2,-0.291941708,-0.255643774,-0.721878808,1,0,0,0,1,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,0,1,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,0,0,1,4
4308,49,2,0.092258283,0,98117,1,0,0,3,0,0,1,0,0,3,4,3,4,4,2,3,4,5,4,4,3,2,2,3,2,2,3,1,-0.059861101,-0.499837415,-0.750559723,0,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
4348,25,2,0.918594638,0,38952,0,0,1,2,0,1,0,0,0,2,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,0.252240188,0.784950953,0.256362534,0,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
4387,33,2,1.760694145,0,10011,1,0,0,5,0,0,0,0,1,1,5,5,5,4,5,4,5,5,5,4,1,3,2,3,1,2,3,2,0.784176853,1.302891213,0.596934152,0,0,0,0,1,1,1,1,0,0,2,0,4,0,0,3,0,0,3,0,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,0,3
4406,33,2,1.375051002,0,10704,1,0,0,4,0,0,0,1,0,2,5,4,5,4,3,5,4,4,5,4,3,3,3,3,3,2,2,2,0.520358096,1.345132476,-0.091096295,1,1,0,0,2,0,0,1,0,0,1,1,1,0,1,2,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,0,1,4
4414,49,2,0.074304644,0,98105,1,0,0,4,0,0,0,1,0,1,5,4,5,5,5,4,5,5,5,4,2,3,1,3,3,2,3,2,0.721543258,1.111819146,1.324144575,0,1,0,0,2,1,1,1,0,0,1,1,1,0,0,3,0,0,3,1,1,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,1,0,0,1,0,0,0,1,4
4428,45,4,1.794324984,0,79706,0,0,1,1,1,0,0,0,0,1,4,0,5,1,1,1,1,1,3,3,2,2,2,2,2,4,4,4,-0.537145653,-0.336688383,0.54734114,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,0,2
4435,49,2,0.074304644,0,98102,1,0,0,3,0,0,1,0,0,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,3,3,3,0.067731785,0.818495615,0.088087581,0,1,0,0,2,0,1,1,0,0,1,1,1,0,0,3,0,0,3,1,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
4445,10,2,1.123258814,0,33897,0,0,1,2,0,1,0,0,0,3,3,4,3,4,3,4,3,3,4,3,2,2,2,2,2,3,3,3,-1.355109138,0.32854436,-0.40681865,0,0,0,0,1,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,1
4455,14,4,2.670669188,0,60942,0,1,0,5,0,0,0,0,1,3,3,4,3,3,4,4,5,3,3,4,1,2,3,3,2,4,4,2,0.522678447,0.519546519,0.153317133,1,1,0,0,2,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,1
4465,39,4,0.170898402,0,19401,1,0,0,2,0,1,0,0,0,2,4,2,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,-0.188981311,0.178544303,-0.893129451,1,1,0,0,2,1,1,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,3,0,0,1,3,0,0,0,1,4
4481,49,2,0.068176227,0,98199,1,0,0,3,0,0,1,0,0,2,5,3,2,4,3,4,4,4,5,5,2,2,2,2,2,2,2,2,-0.740391902,0.010959778,0.498912342,1,1,0,0,2,1,1,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
4482,49,2,0.01718321,0,98002,1,0,0,3,0,0,1,0,0,2,1,0,5,1,1,1,1,1,1,1,2,2,2,2,2,4,3,4,1.405216644,-1.970272083,0.403439663,0,1,0,0,2,0,0,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,1,0,-9,0,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,1,0,2,0,0,0,1,4
4514,31,2,6.846041528,0,7050,1,0,0,2,0,1,0,0,0,1,3,4,3,4,2,1,4,4,5,4,1,3,1,1,1,1,1,2,0.523348538,0.862315833,0.848177389,1,1,0,0,2,0,1,0,1,0,1,1,1,0,0,3,0,0,3,1,0,0,0,1,0,1,1,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,3,0,0,0,1,4
4524,31,2,0.559992397,0,7850,0,1,0,3,0,0,1,0,0,3,4,3,3,4,3,4,5,5,3,4,2,3,2,2,3,2,2,2,0.627295038,0.875265992,0.225124803,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,1,0,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,0,1
4526,10,3,0.554950456,1,33025,1,0,0,1,1,0,0,0,0,2,4,3,4,3,2,3,2,3,4,3,2,3,2,3,2,3,3,3,-0.882344855,0.752669739,-0.200249194,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,2,0,0,3,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
4537,49,2,0.056524603,0,98144,1,0,0,4,0,0,0,1,0,2,5,2,1,5,2,3,1,4,5,5,2,1,1,1,3,2,2,2,0.291162108,0.767678868,0.679365614,1,1,0,0,2,0,1,1,0,0,2,0,4,0,0,3,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,1,4
