event,activity,term,variable,value,se,p,n
heat,Delivery,coef,heat_imp_2,0.16249495298178446,0.07234849895924873,0.024703809309027068,2565
heat,Delivery,coef,heat_imp_3,0.13850932709034092,0.07227330340749352,0.05530580973513428,2565
heat,Delivery,coef,heat_imp_4,0.3338279779561335,0.08715931354122339,0.0001280966220459921,2565
heat,Delivery,coef,heat_imp_5,0.4316641064080075,0.10197233380110293,2.304414827574829e-05,2565
heat,Delivery,coef,hhveh0,0.12412815783124144,0.07353105040100297,0.0913910122003026,2565
heat,Delivery,threshold,threshold_1,-0.8139474439747051,,,2565
heat,Delivery,threshold,threshold_2,1.0912184711633723,,,2565
heat,Dine in,coef,Diversity_high,-0.1369366679413848,0.048617996913395904,0.004853736192112935,2565
heat,Dine in,coef,SE,0.06285287519174436,0.028254893154856964,0.026115142738632014,2565
heat,Dine in,coef,TransitAccess_high,-0.13708426106711222,0.07177513796329879,0.05614443032760396,2565
heat,Dine in,coef,age_65p,-0.11852362334427154,0.051439269930372365,0.021214410784950465,2565
heat,Dine in,coef,asian,-0.25537842540076044,0.13011691427877226,0.04968286799771893,2565
heat,Dine in,coef,bs_grad,-0.1048941783518276,0.05228780724525359,0.04484637909828651,2565
heat,Dine in,coef,heat_imp_2,0.0841573522922833,0.0709251013274948,0.23539863940131833,2565
heat,Dine in,coef,heat_imp_3,-0.0049766459919890005,0.07097778932220558,0.9441016983971362,2565
heat,Dine in,coef,heat_imp_4,-0.10408650416855139,0.0856018620602571,0.2240087759401994,2565
heat,Dine in,coef,heat_imp_5,0.24083950093704984,0.10053644063988054,0.016595707035344277,2565
heat,Dine in,coef,hhsize2,-0.130319083631232,0.049174982470121496,0.008046570898590268,2565
heat,Dine in,coef,in50,-0.14376718336678285,0.06849905216674818,0.03583276763049455,2565
heat,Dine in,coef,in50100,-0.13631207636250525,0.06744743706593503,0.043278527985533784,2565
heat,Dine in,coef,sa_home,-0.08505090650370535,0.04800437474791066,0.07643898719518202,2565
heat,Dine in,coef,work_out,0.2956259941895258,0.11371788525793107,0.009332057316548339,2565
heat,Dine in,threshold,threshold_1,-1.0923981756621701,,,2565
heat,Dine in,threshold,threshold_2,0.6737996077100354,,,2565
heat,Home,coef,CR,0.09623893677748656,0.02826130386527031,0.0006608524977408842,2564
heat,Home,coef,NatWalkInd_high,0.13836564709770818,0.06337235759093636,0.029008175451160776,2564
heat,Home,coef,NatWalkInd_low,0.14766269537186139,0.07279714261619329,0.04251807948991583,2564
heat,Home,coef,NatWalkInd_very_high,0.2490506444036838,0.06125226896611652,4.78305562080506e-05,2564
heat,Home,coef,NetworkDensity_medium,0.09178096505560475,0.05014828839053495,0.06722132654955343,2564
heat,Home,coef,ac_c,0.20563438210667856,0.06763661209453466,0.0023635663884226926,2564
heat,Home,coef,child,-0.15765503878569165,0.07057205374991908,0.025485804309086563,2564
heat,Home,coef,dis_yes,0.14626971765416835,0.05946343147391644,0.013900424110895185,2564
heat,Home,coef,edu_bs,0.10243879567906469,0.05714412057830875,0.07303061989918533,2564
heat,Home,coef,heat_imp_2,0.28377904639078333,0.07177000646860471,7.685343506942369e-05,2564
heat,Home,coef,heat_imp_3,0.298103336862964,0.07175500057159366,3.260555110091933e-05,2564
heat,Home,coef,heat_imp_4,0.4891148466572814,0.08842720530829955,3.17918500248067e-08,2564
heat,Home,coef,heat_imp_5,0.41115740402769285,0.10379875434966493,7.46048017106046e-05,2564
heat,Home,coef,hhsize1,-0.16526072336524075,0.07299510345497434,0.02357427559216739,2564
heat,Home,coef,hhsize2,-0.17576806419470628,0.06829507685902404,0.010063014304328094,2564
heat,Home,coef,in50,0.09553748759463453,0.049954134378225164,0.05581156522823689,2564
heat,Home,coef,work_out,-0.23649623145691737,0.11465991883281096,0.03915174007415239,2564
heat,Home,threshold,threshold_1,-1.020107596896045,,,2564
heat,Home,threshold,threshold_2,0.7112014654837293,,,2564
heat,Pick up,coef,Diversity_high,-0.12111865528936272,0.04854905276377256,0.012603927303355958,2564
heat,Pick up,coef,EmpDens_medium,-0.08368648277631552,0.04795897723949248,0.08099188331663724,2564
heat,Pick up,coef,PR,0.05524311010821781,0.028192386330029375,0.05005372415271286,2564
heat,Pick up,coef,SE,0.06631382884195387,0.028037134473205005,0.01801964499995293,2564
heat,Pick up,coef,ac_c,-0.11824634821487269,0.06583746908701939,0.07248907297236545,2564
heat,Pick up,coef,age_3150,-0.13091330908307872,0.07166551214837084,0.06774086208944986,2564
